Gene,Th_1,Th_2,Th_3,Th_4,Th_5,Am_1,Am_2,Am_3,Am_4,Am_5
Jcad,1,1,0,2,2,10,3,8,8,5
Jchain,0,0,0,0,0,0,0,3,2,0
Jdp2,0,2,0,1,0,2,4,4,7,4
Jhy,0,0,0,0,0,1,0,0,0,0
Jkamp,0,2,1,1,2,3,4,8,6,7
Jmjd1c,11,23,9,5,3,27,30,23,45,27
Jmjd4,1,6,0,1,0,2,5,4,4,2
Jmjd6,4,2,1,0,4,6,6,6,5,3
Jmjd8,0,2,2,0,0,2,5,3,6,4
Jmy,5,10,3,7,4,19,20,14,18,16
Josd1,0,1,0,2,0,5,3,3,3,5
Josd2,1,0,0,0,0,0,3,2,4,3
Jph1,0,0,0,0,0,0,0,0,1,0
Jph2,0,0,0,0,0,1,0,0,0,0
Jph3,1,5,2,2,1,5,10,9,13,8
Jph4,3,11,5,2,2,16,29,12,24,24
Jpt1,0,0,2,1,1,3,1,2,3,1
Jpt2,0,0,0,0,0,1,0,0,2,0
Jpx,0,4,1,0,0,7,10,3,5,5
Jrk,1,4,2,2,0,0,7,3,1,2
Jrkl,0,0,0,0,1,4,4,1,4,2
Jsrp1,0,0,0,0,0,1,0,0,0,2
Jtb,0,0,1,0,0,2,0,1,3,3
Jun,1,5,0,1,0,2,3,4,6,5
Junb,2,0,2,1,1,3,4,1,2,1
Jund,2,6,6,6,0,6,5,9,2,7
Junos,0,0,0,0,0,0,1,1,0,0
Jup,4,10,5,7,1,12,9,16,22,16
Kalrn,4,11,6,4,6,7,11,3,12,6
Kank1,1,1,0,2,1,1,1,5,5,4
Kank2,1,1,1,0,1,2,0,3,1,1
Kank3,1,0,0,0,0,0,1,0,0,1
Kank4,0,0,0,0,0,1,2,0,2,0
Kank4os,0,0,0,0,0,1,0,0,0,0
Kansl1,6,11,5,6,6,29,26,26,31,17
Kansl1l,0,5,0,1,1,6,0,2,2,1
Kansl2,1,0,0,0,0,0,1,2,1,1
Kansl3,4,7,5,6,2,11,14,9,19,18
Kantr,4,6,5,4,6,10,17,10,20,10
Kars,2,4,5,2,1,12,13,4,7,5
Kash5,0,0,0,0,0,0,1,1,2,0
Kat14,2,4,1,1,0,9,2,3,5,4
Kat2a,4,7,2,3,1,5,12,5,13,4
Kat2b,1,3,2,1,2,5,4,2,8,9
Kat5,7,3,5,4,5,16,5,3,10,5
Kat6a,10,33,5,16,10,51,65,52,77,42
Kat6b,6,17,8,3,5,27,37,11,22,16
Kat6b-ps1,0,0,0,0,0,0,0,1,0,0
Kat7,5,5,4,1,5,11,20,12,30,15
Kat8,0,4,2,1,0,0,4,1,3,0
Katna1,1,0,1,0,0,0,0,0,0,1
Katnal1,6,8,6,2,0,8,17,11,10,11
