,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
1700016A09Rik,1700016A09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,6
1700016C15Rik,1700016C15Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1700016D06Rik,1700016D06Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700016D08Rik,1700016D08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
1700016G22Rik,1700016G22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700016H13Rik,1700016H13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1700016K19Rik,1700016K19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700016L21Rik,1700016L21Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,4
1700016P03Rik,1700016P03Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,1,0,10,14,18,26,16,29
1700017B05Rik,1700017B05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,2,6,3,1,0,1,3,2,1
1700017D01Rik,1700017D01Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
1700017G19Rik,1700017G19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1700017N19Rik,1700017N19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1700018B08Rik,1700018B08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1700018L02Rik,1700018L02Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,2,5,0,6,6,1,5,5,9
1700019A02Rik,1700019A02Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,5,6,2
1700019B03Rik,1700019B03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,3
1700019D03Rik,1700019D03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,27,20,18,30,47,37,1,2,3,6,5,2
1700019G17Rik,1700019G17Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,4,3,2,6,12,10,1,5,7,7,13,19
