Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
Fam117a,0,0,0,0,0,0,5,2,3,7,9,11
Fam117b,3,0,6,2,8,4,132,183,175,202,485,425
Fam118a,0,0,0,4,0,3,39,40,35,42,87,78
Fam118b,0,1,0,2,0,3,64,90,89,77,168,122
Fam120a,2,2,0,6,9,2,158,168,163,212,317,261
Fam120aos,0,0,0,1,1,0,29,41,35,43,67,60
Fam120b,4,0,7,2,5,1,118,168,174,199,339,271
Fam120c,1,1,2,0,1,3,59,96,92,118,202,173
Fam122a,3,0,3,6,6,5,115,195,160,188,342,286
Fam122b,0,0,0,0,1,0,1,2,4,6,13,13
Fam122c,0,0,0,0,0,0,0,0,0,0,0,0
Fam124a,0,1,1,0,0,0,9,14,8,27,69,48
Fam124b,0,0,0,0,0,0,0,0,0,1,0,0
Fam126a,0,0,1,0,1,0,14,14,19,22,43,49
Fam126b,3,3,3,6,8,18,302,445,433,500,930,858
Fam129a,0,0,0,0,0,0,2,1,2,1,1,0
Fam129b,0,0,0,0,0,2,7,7,5,8,19,16
Fam129c,0,0,0,0,1,0,7,10,10,11,26,29
Fam131a,1,0,2,2,2,1,61,97,73,96,184,167
Fam131b,0,0,0,0,1,1,1,2,2,2,9,11
Fam131c,0,0,0,0,0,0,0,0,0,0,2,0
Fam132a,2,0,3,7,6,5,336,436,386,456,1003,930
Fam132b,0,0,0,0,0,0,0,0,0,0,0,0
Fam133b,1,2,6,7,13,6,272,437,406,510,829,749
Fam134a,4,1,3,2,9,12,254,334,239,305,754,620
Fam134b,0,0,0,2,1,3,44,55,47,70,133,132
Fam134c,0,2,1,2,6,2,64,98,77,114,155,160
Fam135a,2,2,3,4,5,3,83,94,98,99,233,198
Fam135b,0,2,6,2,6,8,295,412,401,492,835,736
Fam136a,0,2,0,1,3,7,92,104,104,127,268,236
Fam136b-ps,0,0,0,0,0,0,0,0,1,0,1,1
Fam13a,2,0,0,0,0,0,3,7,9,14,23,25
Fam13b,3,2,5,4,6,5,184,234,231,293,618,540
Fam13c,4,3,3,11,6,10,501,650,653,767,857,754
Fam149a,1,2,3,3,9,5,8,2,7,10,38,29
Fam149b,0,0,0,4,6,6,51,79,57,80,207,188
Fam150b,0,0,0,0,0,0,0,0,0,0,2,0
Fam151a,0,0,0,0,0,0,0,0,0,0,1,0
Fam151b,0,0,0,0,0,0,1,1,3,5,3,2
Fam155a,2,1,2,6,2,8,225,307,349,420,960,851
Fam159a,0,0,0,0,0,0,0,0,0,0,0,0
Fam159b,0,0,0,0,0,0,2,4,3,4,9,14
Fam160a1,0,0,1,1,1,2,14,32,18,30,22,32
Fam160a2,0,0,0,1,3,4,52,66,57,94,126,103
Fam160b1,2,1,2,3,6,2,100,133,134,152,277,267
Fam160b2,2,1,0,2,1,2,71,90,69,102,148,122
Fam161a,10,10,5,27,68,58,179,247,237,275,683,624
Fam161b,2,0,2,0,2,0,29,30,29,43,96,77
Fam162a,9,1,1,5,18,11,367,431,331,442,1005,920
Fam163a,0,0,0,1,3,0,61,95,63,108,270,222
Fam163b,1,1,1,0,0,0,19,28,21,30,45,53
Fam166a,0,0,0,0,0,0,1,0,1,0,1,1
Fam166b,0,0,0,0,0,0,0,1,1,1,2,2
